estudo,tec_fuzzy,tec_bayesiana,tec_ml_pred_class,tec_ml_interpretavel,tec_modelagem_conhecimento,tec_ecd_progressao,tec_practice_scheduling,tec_sensores_ubiquos,tec_llm,tec_eye_tracking,tec_chatbot,tec_agrupamento,tec_analise_institucional,ben_desempenho,ben_engajamento,ben_personalizacao,ben_lacunas,ben_eficiencia,ben_apoio_docente,ben_inclusao,des_dados_qualidade,des_escalabilidade_custo,des_alinhamento_pedagogico,des_privacidade,des_infra_organizacao
"[Ghergulescu et al. 2021]",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0
"[Singh et al. 2022]",0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1
"[AL-Chalabi et al. 2021]",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1
"[Szczepanski and Marciniak 2023]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"[Prihar et al. 2022]",0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
"[Mandal and Naskar 2021]",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"[Liu et al. 2021]",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"[Eryilmaz and Adabashi 2020]",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0
"[Ezzaim et al. 2024]",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"[Chen et al. 2024]",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"[Santhosh et al. 2024]",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0
"[Wang et al. 2020]",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
"[Troussas et al. 2023]",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1
"[Chergui et al. 2021]",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
"[Rao and Kumar 2021]",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"[Pavlik et al. 2020]",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
"[Lechuga and Doroudi 2023]",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"[Chergui et al.]",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
"[Kubsch et al. 2022]",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[Calo and MacLellan 2024]",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
