"title","author","journal","year","source","pages","volume","abstract","document_type","doi","url","affiliation","author_keywords","keywords","publisher","issn","language","note","created_at","updated_at","status"
"Development of an intelligent tutoring system using bayesian networks and fuzzy logic for a higher student academic performance","Eryilmaz, Meltem and Adabashi, Afaf","Applied Sciences (Switzerland)","2020","Scopus","","10","In this experimental study, an intelligent tutoring system called the fuzzy Bayesian intelligent tutoring system (FB-ITS), is developed by using artificial intelligence methods based on fuzzy logic and the Bayesian network technique to adaptively support students in learning environments. The effectiveness of the FB-ITS was evaluated by comparing it with two other versions of an Intelligent Tutoring System (ITS), fuzzy ITS and Bayesian ITS, separately. Moreover, it was evaluated by comparing it with an existing traditional e-learning system. In order to evaluate whether the academic performance of the students in different learning groups differs or not, analysis of covariance (ANCOVA) was used based on the students' pre-test and post-test scores. The study was conducted with 120 undergraduate university students. Results showed that students who studied using FB-ITS had significantly higher academic performance on average compared to other students who studied with the other systems. Regarding the time taken to perform the post-test, the results indicated that students who used the FB-ITS needed less time on average compared to students who used the traditional e-learning system. From the results, it could be concluded that the new system contributed in terms of the speed of performing the final exam and high academic success. © 2020 by the authors.","Article","10.3390/APP10196638","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092448079&doi=10.3390%2fAPP10196638&partnerID=40&md5=1da779e1d6611f0443471d303867c947","","","","","","","Cited by: 28; All Open Access, Gold Open Access","45630.959386574","45631.478703704","Accepted"
"A Large-Scale, Open-Domain, Mixed-Interface Dialogue-Based ITS for STEM","Serban, Iulian Vlad and Gupta, Varun and Kochmar, Ekaterina and Vu, Dung D. and Belfer, Robert and Pineau, Joelle and Courville, Aaron and Charlin, Laurent and Bengio, Yoshua","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","2020","Scopus","387 – 392","12164 LNAI","We present Korbit, a large-scale, open-domain, mixed-interface, dialogue-based intelligent tutoring system (ITS). Korbit uses machine learning, natural language processing and reinforcement learning to provide interactive, personalized learning online. Korbit has been designed to easily scale to thousands of subjects, by automating, standardizing and simplifying the content creation process. Unlike other ITS, a teacher can develop new learning modules for Korbit in a matter of hours. To facilitate learning across a wide range of STEM subjects, Korbit uses a mixed-interface, which includes videos, interactive dialogue-based exercises, question-answering, conceptual diagrams, mathematical exercises and gamification elements. Korbit has been built to scale to millions of students, by utilizing a state-of-the-art cloud-based micro-service architecture. Korbit launched its first course in 2019 and has over 7, 000 students have enrolled. Although Korbit was designed to be open-domain and highly scalable, A/B testing experiments with real-world students demonstrate that both student learning outcomes and student motivation are substantially improved compared to typical online courses. © 2020, Springer Nature Switzerland AG.","Conference paper","10.1007/978-3-030-52240-7_70","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088595686&doi=10.1007%2f978-3-030-52240-7_70&partnerID=40&md5=29141d22bd05fddb03277dbc0df0f7ad","","","","","","","Cited by: 5; All Open Access, Bronze Open Access","45630.959386574","45631.468831019","Accepted"
"The mobile fact and concept textbook system (MoFaCTS)","Pavlik, Philip I. and Olney, Andrew M. and Banker, Amanda and Eglington, Luke and Yarbro, Jeffrey","CEUR Workshop Proceedings","2020","Scopus","35 – 49","2674","An intelligent textbook may be considered to be an interaction layer that lies between the text and the student, helping the student to master the content in the text. The Mobile Fact and Concept Training System (MoFaCTS) is an adaptive instructional system for simple content that has been developed into an interaction layer to mediate textbook instruction and so is being transformed into the Mobile Fact and Concept Textbook System (MoFaCTS). In this project, MoFaCTS is being completely retooled to accept texts from a textbook and to automatically create cloze sentence practice content to help the student learn the material in the text. Additional features in the prototype stage include automatically generated refutational feedback for incorrect cloze responses and a dialog system, which will trigger a short conversation by a tutor to correct conceptual misunderstandings. MoFaCTS administers this content via a web browser, providing the teacher with score reports and class management tools. Because the “optimal practice” module is interchangeable and the cloze content can come from any text, the system is highly configurable for different grade levels, populations, and academic subjects. To foster faster research progress, data export supports the DataShop transaction format, which allows quick analysis of data using the DataShop tools. Copyright © 2020 for this paper by its authors. Use permitted under Creative Commons License Attribution 4.0 International (CC BY 4.0).","Conference paper","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093833006&partnerID=40&md5=ad57874bbbf9458a93a2cda997f5d088","","","","","","","Cited by: 7","45630.959386574","45631.463981481","Accepted"
"Design and Development of self-Adaptive Learning System Based on Data Analysis","Meijuan, Shan and Kaili, Yang","Proceedings of 2020 IEEE International Conference on Artificial Intelligence and Computer Applications, ICAICA 2020","2020","Scopus","709 – 711","","In the era of rapid development of artificial intelligence and big data technology, the education departments are also experiencing the transformation from the traditional classroom to the blending learning mode mixed with online learning and offline classroom. In order to promote the modernization of education and realize the inclusiveness and individuation of future education, the self-adaptive learning platform is rising gradually, which emphasizes service orientation and provides personalized learning contents to students based on data collections and analyses, enhancing the pertinence and efficiency of students' learning, and improving students' learning experience. In this paper, the writer applies to big data and artificial intelligence technology into the educational environment and attempts to build an intelligent self-adaptive learning system to realize personalized teaching model for the purpose of serving for teachers and students. Besides, the writer also carries out some innovative explorations on personalized teaching based on learner-centered and improves teaching qualities with remindings and early warnings. © 2020 IEEE.","Conference paper","10.1109/ICAICA50127.2020.9182621","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092165649&doi=10.1109%2fICAICA50127.2020.9182621&partnerID=40&md5=bfcbab7f083cdc76d4bd462f0ef812a4","","","","","","","Cited by: 6","45630.959386574","45631.462858796","Accepted"
"Identifying gaps in use of and research on adaptive learning systems","Wang, Shuai and Christensen, Claire and McBride, Elizabeth and Kelly, Hannah and Cui, Wei and Tong, Richard and Shear, Linda and Yarnall, Louise and Feng, Mingyu","CSEDU 2020 - Proceedings of the 12th International Conference on Computer Supported Education","2020","Scopus","118 – 124","1","Adaptive learning systems have become increasingly common across age groups and content areas. Many adaptive learning systems personalize the learning experience based on students' prior knowledge, preferences, learner profile, system usage, learning style, and/or learning perceptions. In addition, various learning algorithms have been developed over the years, such as item response theories, Markov modelling, recurrent neural networks, and Bayesian knowledge tracing (BKT). Although western countries have generated numerous efficacy studies, Chinese adaptive education is in its earliest stage, with few efficacy studies conducted in this context, which is a gap in this field. This position paper describes one Chinese adaptive learning system, Squirrel AI Learning, and invites further research on adaptive learning systems in China and other Asian countries. Copyright © 2020 by SCITEPRESS - Science and Technology Publications, Lda. All rights reserved","Conference paper","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091405692&partnerID=40&md5=880ec68d8d1597db5cafee02dfbfe4bc","","","","","","","Cited by: 2","45630.959386574","45631.465219907","Accepted"
"A Parallel Education Based Intelligent Tutoring Systems Framework","Jing, Sifeng and Tang, Ying and Liu, Xiwei and Gong, Xiaoyan and Cui, Wei and Liang, Joleen","","2020","IEEE Digital Library","1-6","","None","","10.1109/ICNSC48988.2020.9238052","","","","Human computer interaction;Conferences;Education;Market research;Sensors;Artificial intelligence;Intelligent Tutoring System;Personalized education;Online Education;Metacognition;Knowledge Graph","","","","","45630.950891204","45631.543483796","Accepted"
"Modelling an intelligent tutoring system based on supervised behaviour biometrics","Dalila, Durães and Manuel, Rodrigues and Paulo, Novais","CEUR Workshop Proceedings","2020","Scopus","","2655","The needs of skilled people have grown exponentially, which means that resources for education/training are significantly more limited. Intelligent Tutoring Systems (ITS) aim to enable users to improve knowledge and develop skills in a specific field. Moreover, the ITS offers individual and autonomously tutoring making each user progress at their capacity. In this paper, we present a new approach of an ITS to monitor users' biométrie behaviour, learning style, and user's emotional state during e-learning activities to improve learning. So we develop a new framework to obtain emotional student state and learning style, based on a non-intrusive and non-invasive way. © 2020 CEUR-WS. All rights reserved.","Conference paper","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090901870&partnerID=40&md5=f6e64afa1a4e1568b49dbe46c6821aba","","","","","","","Cited by: 0","45630.959386574","45631.611111111","Duplicated"
"Impact of inquiry interventions on students in e-learning and classroom environments using affective computing framework","Ashwin, T.S. and Guddeti, Ram Mohana Reddy","User Modeling and User-Adapted Interaction","2020","Scopus","759 – 801","30","Effective teaching strategies improve the students’ learning rate within academic learning time. Inquiry-based instruction is one of the effective teaching strategies used in the classrooms. But these teaching strategies are not adapted in other learning environments like intelligent tutoring systems, including auto tutors. In this paper, we propose an automatic inquiry-based instruction teaching strategy, i.e., inquiry intervention using students’ affective states. The proposed model contains two modules: the first module consists of the proposed framework for predicting the unobtrusive multi-modal students’ affective states (teacher-centric attentive and in-attentive states) using the facial expressions, hand gestures and body postures. The second module consists of the proposed automated inquiry-based instruction teaching strategy to compare the learning outcomes with and without inquiry intervention using affective state transitions for both an individual and a group of students. The proposed system is tested on four different learning environments, namely: e-learning, flipped classroom, classroom and webinar environments. Unobtrusive recognition of students’ affective states is performed using deep learning architectures. After student-independent tenfold cross-validation, we obtained the students’ affective state classification accuracy of 77% and object localization accuracy of 81% using students’ faces, hand gestures and body postures. The overall experimental results demonstrate that there is a positive correlation with r= 0.74 between students’ affective states and their performance. Proposed inquiry intervention improved the students’ performance as there is a decrease of 65%, 43%, 43%, and 53% in overall in-attentive affective state instances using the inquiry interventions in e-learning, flipped classroom, classroom and webinar environments, respectively. © 2020, Springer Nature B.V.","Article","10.1007/s11257-019-09254-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077538149&doi=10.1007%2fs11257-019-09254-3&partnerID=40&md5=5e581dd6d58d2aed5a84e38bfe1bf120","","","","","","","Cited by: 33","45630.959386574","45631.611064815","Duplicated"
"Accuracy-aware deep knowledge tracing with knowledge state vector loss","Pan, Qiushi and Tezuka, Taro","ICCE 2020 - 28th International Conference on Computers in Education, Proceedings","2020","Engineering Village","90 - 92","1","In major e-learning platforms such as intelligent tutoring systems (ITSs) and massive open online courses (MOOCs), the students are often recommended what course materials to take based on their past interactions. Knowledge Tracing (KT) is the task of modeling students' academic abilities. Given a sequence of student's learning history, it predicts how well they will perform in the next interaction. Deep Knowledge Tracing (DKT) uses a recurrent neural network (RNN) to capture the underlying structure of the student's understanding. In this paper, we point out the accuracy rate problem that the model won't reproduce the accuracy ratio. This is a limitation of the existing loss function in DKT that it only learns the probability of correctly answering a problem in the next interaction. We introduced the Knowledge State Vector loss, which captures the accuracy rate of all knowledge concepts, to measure and train the model.<br/> © ICCE 2020 - 28th International Conference on Computers in Education, Proceedings. All rights reserved.","","","","","","E-learning;Online systems;Learning systems;Education computing;Recurrent neural networks;Computer aided instruction;Data mining;","","","English","Academic ability;Course material;E-learning platforms;Intelligent tutoring system (ITSs);Knowledge state;Knowledge tracings;Massive open online course;Recurrent neural network (RNN);","45631.610486111","45631.610902778","Duplicated"
"21st International Conference on Artificial Intelligence in Education, AIED 2020","","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","2020","Engineering Village","","12164 LNAI","The proceedings contain 123 papers. The special focus in this conference is on Artificial Intelligence in Education. The topics include: Identification of Students’ Need Deficiency Through a Dialogue System; the Double-Edged Sword of Automating Personalized Interventions in Makerspaces: An Exploratory Study of Potential Benefits and Drawbacks; edNet: A Large-Scale Hierarchical Dataset in Education; exploring Automatic Short Answer Grading as a Tool to Assist in Human Rating; multi-document Cohesion Network Analysis: Visualizing Intratextual and Intertextual Links; mastery Learning Heuristics and Their Hidden Models; towards Practical Detection of Unproductive Struggle; what Happens When Gamification Ends?; using Eye-Tracking and Click-Stream Data to Design Adaptive Training of Children’s Inhibitory Control in a Maths and Science Game; interactive Pedagogical Agents for Learning Sequence Diagrams; prediction of Group Learning Results from an Aggregation of Individual Understanding with Kit-Build Concept Map; automatic Classification for Cognitive Engagement in Online Discussion Forums: Text Mining and Machine Learning Approach; explaining Errors in Predictions of At-Risk Students in Distance Learning Education; a General Multi-method Approach to Design-Loop Adaptivity in Intelligent Tutoring Systems; towards Improving Sample Representativeness of Teachers on Online Social Media: A Case Study on Pinterest; a Framework for Exploring the Impact of Tutor Practices on Learner Self-regulation in Online Environments; automated Personalized Feedback Improves Learning Gains in An Intelligent Tutoring System; allowing Revisions While Providing Error-Flagging Support: Is More Better?; learner-Context Modelling: A Bayesian Approach; distinguishing Anxiety Subtypes of English Language Learners Towards Augmented Emotional Clarity; a Socratic Tutor for Source Code Comprehension; scientific Modeling Using Large Scale Knowledge.<br/>","","","","","","","","03029743","English","","45631.610486111","45631.610810185","Duplicated"
